MAS SECTION LED DETAILS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESCRIPTION,,,,,,,,,,RG,,,,,,HG,,,,,,HHG,,,,,,DG,,,,,,SHUNT,,,,,,ROUTE,,,,,,AMARKER,,,,,,CALLINGON,,,,,,,,,,,,,,,,,,,,
SNO,SECTION,STATION/AUTOSECTION/LC/IBS,ROUTE,"SIGNALNO/
SHUNTNO",HOME/STARTER/LSS/CO/IND SH/SUB SH/AUTO/GATE/IB/REP,LHS/RHS,SMMS Asset Created,"Asset Approved by
In Charge SSE",,MAKE,TYPE,Sl No,DOM,DOI,QTY,MAKE,TYPE,Sl No,DOM,DOI,QTY,MAKE,TYPE,Sl No,DOM,DOI,QTY,MAKE,TYPE,Sl No,DOM,DOI,QTY,MAKE,TYPE,Sl No,DOM,DOI,QTY,MAKE,TYPE,Sl No,DOM,DOI,QTY,MAKE,TYPE,Sl No,DOM,DOI,QTY,MAKE,TYPE,Sl No,DOM,DOI,QTY,,2Aspect,3Aspect,4Aspect,Shunt,Ind,OnPost,CO,Route,Home,Starter,IB,Gatesig,Auto,Retro Reflective Signal No.
58,MAS,MASS,A,7B,CO,LHS,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GAEC,INTEGRATED,,,9/19/2016,1,0,,,,,TRUE,,FALSE,TRUE,,,,,,7B
59,MAS,MASS,A,SH27,SUB SH,LHS,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,PTC,INTEGRATED,,,9/19/2016,2,,,,,,,,,,,,,,,,,,,0,,,,,TRUE,,TRUE,TRUE,,,,,,
60,MAS,MASS,A,SH28,IND SH,LHS,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,PTC,INTEGRATED,,,9/19/2016,3,,,,,,,,,,,,,,,,,,,0,,,,,TRUE,,TRUE,TRUE,,,,,,
61,MAS,MASS,A,31A,HOME,LHS,TRUE,TRUE,,RTV,INTEGRATED,2619,1/1/2017,2/22/2022,1,RTV,INTEGRATED,3162,11/1/2020,2/22/2022,1,,,,,,,,,,,,,,,,,,,GAEC,INTEGRATED,,,12/1/2017,5,,,,,,,,,,,,,2,TRUE,,,,,,TRUE,FALSE,,,,,,31A
62,MAS,MASS,A,31B,CO,LHS,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GAEC,INTEGRATED,,,9/19/2016,1,0,,,,,TRUE,,FALSE,TRUE,,,,,,31B
63,MAS,MASS,A,32A,HOME,LHS,TRUE,TRUE,,RTV,INTEGRATED,2617,1/1/2017,2/21/2022,1,RTV,INTEGRATED,3670,1/1/2017,2/21/2022,1,,,,,,,,,,,,,,,,,,,GAEC,INTEGRATED,,,12/29/2018,17,,,,,,,,,,,,,2,TRUE,,,,,,TRUE,FALSE,,,,,,32A
64,MAS,MASS,A,32B,CO,LHS,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GAEC,INTEGRATED,,,9/19/2016,1,0,,,,,TRUE,,FALSE,TRUE,,,,,,32B
65,MAS,MASS,A,S16,AUTO,LHS,TRUE,FALSE,,GAEC,INTEGRATED,47882,1/1/2022,9/4/2022,1,PTC,INTEGRATED,1502,10/1/2021,9/4/2022,1,GAEC,INTEGRATED,62116,1/1/2022,20922,1,RTV,INTEGRATED,12153,6/1/2022,9/2/2022,1,,,,,,,,,,,,,EFF,INTEGRATED,,,5/1/2019,1,,,,,,,4,,,TRUE,,,,TRUE,TRUE,,,,,,16
,,,,,,,,,,,,,,,25,,,,,,25,,,,,,4,,,,,,4,,,,,,79,,,,,,65,,,,,,1,,,,,,9,0,,,,,TRUE,,TRUE,FALSE,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,TRUE,,TRUE,TRUE,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,TRUE,,TRUE,TRUE,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,TRUE,,TRUE,TRUE,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,TRUE,,TRUE,TRUE,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,TRUE,,TRUE,TRUE,,,,,,
